date,description
2023-01-26,Republic Day
2023-02-18,Mahashivratri
2023-03-07,Holi
2023-03-30,Ram Navami
2023-04-04,Mahavir Jayanti
2023-04-07,Good Friday
2023-04-14,Dr. Baba Saheb Ambedkar Jayanti
2023-04-22,Id-Ul-Fitr (Ramzan ID)
2023-05-01,Maharashtra Day
2023-06-29,Bakri Id
2023-07-29,Moharram
2023-08-15,Independence Day
2023-09-19,Ganesh Chaturthi
2023-10-02,Mahatma Gandhi Jayanti
2023-10-24,Dussehra
2023-11-12,Diwali-Laxmi Pujan
2023-11-14,Diwali-Balipratipada
2023-11-27,Gurunanak Jayanti
2023-12-25,Christmas
2024-01-22,Special Holiday
2024-01-26,Republic Day
2024-03-02,Special Live Trading
2024-03-08,Mahashivratri
2024-03-25,Holi
2024-03-29,Good Friday
2024-04-11,Id-Ul-Fitr (Ramadan Eid)
2024-04-14,Dr. Baba Saheb Ambedkar Jayanti
2024-04-17,Shri Ram Navmi
2024-04-21,Shri Mahavir Jayanti
2024-05-01,Maharashtra Day
2024-05-20,General Parliamentary Elections
2024-06-17,Bakri Id
2024-07-17,Moharram
2024-08-15,Independence Day
2024-09-07,Ganesh Chaturthi
2024-10-02,Mahatma Gandhi Jayanti
2024-10-12,Dussehra
2024-11-02,Balipratipada
2024-11-15,Prakash Gurpurb Sri Guru Nanak Dev
2024-11-20,Assembly Elections in Maharashtra
2024-12-25,Christmas
2025-01-26,Republic Day
2025-02-26,Mahashivratri
2025-03-14,Holi
2025-03-31,Id-Ul-Fitr (Ramadan Eid)
2025-04-06,Shri Ram Navami
2025-04-10,Shri Mahavir Jayanti
2025-04-14,Dr. Baba Saheb Ambedkar Jayanti
2025-04-18,Good Friday
2025-05-01,Maharashtra Day
2025-06-07,Bakri Id
2025-07-06,Muharram
2025-08-15,Independence Day / Parsi New Year
2025-08-27,Shri Ganesh Chaturthi
2025-10-02,Mahatma Gandhi Jayanti/Dussehra
2025-10-21,Diwali Laxmi Pujan
2025-10-22,Balipratipada
2025-11-05,Prakash Gurpurb Sri Guru Nanak Dev
2025-12-25,Christmas
2026-01-15,Municipal Corporation Election - Maharashtra
2026-01-26,Republic Day
2026-02-15,Mahashivratri
2026-03-03,Holi
2026-03-21,Id-Ul-Fitr (Ramadan Eid)
2026-03-26,Shri Ram Navami
2026-03-31,Shri Mahavir Jayanti
2026-04-03,Good Friday
2026-04-14,Dr. Baba Saheb Ambedkar Jayanti
2026-05-01,Maharashtra Day
2026-05-28,Bakri Id
2026-06-26,Muharram
2026-08-15,Independence Day
2026-09-14,Ganesh Chaturthi
2026-10-02,Mahatma Gandhi Jayanti
2026-10-20,Dussehra
2026-11-08,Diwali Laxmi Pujan
2026-11-10,Diwali-Balipratipada
2026-11-24,Prakash Gurpurb Sri Guru Nanak Dev
2026-12-25,Christmas
