effective,change,symbol,company,source
2023-04-28,exclude,BAJAJELEC,Bajaj Electricals Ltd.,ind_prs19042023_1
2023-04-28,exclude,EDELWEISS,Edelweiss Financial Services Ltd.,ind_prs19042023_1
2023-04-28,include,ERIS,Eris Lifesciences Ltd.,ind_prs19042023_1
2023-04-28,include,NSLNISP,NMDC Steel Ltd.,ind_prs19042023_1
2023-07-13,exclude,HDFC,Housing Development Finance Corporation Ltd.,ind_prs04072023
2023-07-13,include,MANKIND,Mankind Pharma Ltd.,ind_prs04072023
2023-09-29,exclude,BASF,BASF India Ltd.,ind_prs17082023
2023-09-29,exclude,GARFIBRES,Garware Technical Fibres Ltd.,ind_prs17082023
2023-09-29,exclude,GODREJAGRO,Godrej Agrovet Ltd.,ind_prs17082023
2023-09-29,exclude,GREENPANEL,Greenpanel Industries Ltd.,ind_prs17082023
2023-09-29,exclude,HIKAL,Hikal Ltd.,ind_prs17082023
2023-09-29,exclude,HGS,Hinduja Global Solutions Ltd.,ind_prs17082023
2023-09-29,exclude,IFBIND,IFB Industries Ltd.,ind_prs17082023
2023-09-29,exclude,IBREALEST,Indiabulls Real Estate Ltd.,ind_prs17082023
2023-09-29,exclude,JINDWORLD,Jindal Worldwide Ltd.,ind_prs17082023
2023-09-29,exclude,KENNAMET,Kennametal India Ltd.,ind_prs17082023
2023-09-29,exclude,RUSTOMJEE,Keystone Realtors Ltd.,ind_prs17082023
2023-09-29,exclude,MAHLOG,Mahindra Logistics Ltd.,ind_prs17082023
2023-09-29,exclude,NOCIL,NOCIL Ltd.,ind_prs17082023
2023-09-29,exclude,TMB,Tamilnad Mercantile Bank Ltd.,ind_prs17082023
2023-09-29,exclude,TCIEXP,TCI Express Ltd.,ind_prs17082023
2023-09-29,exclude,TCNSBRANDS,TCNS Clothing Co. Ltd.,ind_prs17082023
2023-09-29,exclude,TCI,Transport Corporation of India Ltd.,ind_prs17082023
2023-09-29,exclude,UFLEX,UFLEX Ltd.,ind_prs17082023
2023-09-29,include,ALLCARGO,Allcargo Logistics Ltd.,ind_prs17082023
2023-09-29,include,ALOKINDS,Alok Industries Ltd.,ind_prs17082023
2023-09-29,include,GILLETTE,Gillette India Ltd.,ind_prs17082023
2023-09-29,include,ALIVUS,Glenmark Life Sciences Ltd.,ind_prs17082023
2023-09-29,include,GPIL,Godawari Power & Ispat Ltd.,ind_prs17082023
2023-09-29,include,IRCON,IRCON International Ltd.,ind_prs17082023
2023-09-29,include,JINDALSAW,Jindal Saw Ltd.,ind_prs17082023
2023-09-29,include,KAYNES,Kaynes Technology India Ltd.,ind_prs17082023
2023-09-29,include,KIRLFER,Kirloskar Ferrous Industries Ltd.,ind_prs17082023
2023-09-29,include,MINDACORP,Minda Corporation Ltd.,ind_prs17082023
2023-09-29,include,PGHL,Procter & Gamble Health Ltd.,ind_prs17082023
2023-09-29,include,SAFARI,Safari Industries (India) Ltd.,ind_prs17082023
2023-09-29,include,SAREGAMA,Saregama India Ltd,ind_prs17082023
2023-09-29,include,SFL,Sheela Foam Ltd.,ind_prs17082023
2023-09-29,include,SYMPHONY,Symphony Ltd.,ind_prs17082023
2023-09-29,include,SYRMA,Syrma SGS Technology Ltd.,ind_prs17082023
2023-09-29,include,UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,ind_prs17082023
2023-09-29,include,USHAMART,Usha Martin Ltd.,ind_prs17082023
2023-10-26,exclude,KIRLFER,Kirloskar Ferrous Industries Ltd.,ind_prs17102023
2023-10-26,include,CONCORDBIO,Concord Biotech Ltd.,ind_prs17102023
2024-03-28,exclude,AARTIDRUGS,Aarti Drugs Ltd.,ind_prs28022024
2024-03-28,exclude,BCG,Brightcom Group Ltd.,ind_prs28022024
2024-03-28,exclude,DELTACORP,Delta Corp Ltd.,ind_prs28022024
2024-03-28,exclude,EPIGRAL,Epigral Ltd.,ind_prs28022024
2024-03-28,exclude,GRINFRA,G R Infraprojects Ltd.,ind_prs28022024
2024-03-28,exclude,GALAXYSURF,Galaxy Surfactants Ltd.,ind_prs28022024
2024-03-28,exclude,GOCOLORS,Go Fashion (India) Ltd.,ind_prs28022024
2024-03-28,exclude,GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,ind_prs28022024
2024-03-28,exclude,HLEGLAS,HLE Glascoat Ltd.,ind_prs28022024
2024-03-28,exclude,INFIBEAM,Infibeam Avenues Ltd.,ind_prs28022024
2024-03-28,exclude,INGERRAND,Ingersoll Rand (India) Ltd.,ind_prs28022024
2024-03-28,exclude,JAMNAAUTO,Jamna Auto Industries Ltd.,ind_prs28022024
2024-03-28,exclude,LAXMIMACH,Lakshmi Machine Works Ltd.,ind_prs28022024
2024-03-28,exclude,LUXIND,Lux Industries Ltd.,ind_prs28022024
2024-03-28,exclude,NAZARA,Nazara Technologies Ltd.,ind_prs28022024
2024-03-28,exclude,ORIENTELEC,Orient Electric Ltd.,ind_prs28022024
2024-03-28,exclude,PFIZER,Pfizer Ltd.,ind_prs28022024
2024-03-28,exclude,POLYPLEX,Polyplex Corporation Ltd.,ind_prs28022024
2024-03-28,exclude,PGHL,Procter & Gamble Health Ltd.,ind_prs28022024
2024-03-28,exclude,RAIN,Rain Industries Ltd,ind_prs28022024
2024-03-28,exclude,RALLIS,Rallis India Ltd.,ind_prs28022024
2024-03-28,exclude,RELAXO,Relaxo Footwears Ltd.,ind_prs28022024
2024-03-28,exclude,ROSSARI,Rossari Biotech Ltd.,ind_prs28022024
2024-03-28,exclude,SHARDACROP,Sharda Cropchem Ltd.,ind_prs28022024
2024-03-28,exclude,SFL,Sheela Foam Ltd.,ind_prs28022024
2024-03-28,exclude,SHOPERSTOP,Shoppers Stop Ltd.,ind_prs28022024
2024-03-28,exclude,SUPRAJIT,Suprajit Engineering Ltd.,ind_prs28022024
2024-03-28,exclude,SYMPHONY,Symphony Ltd.,ind_prs28022024
2024-03-28,exclude,TEAMLEASE,Teamlease Services Ltd.,ind_prs28022024
2024-03-28,exclude,TTKPRESTIG,TTK Prestige Ltd.,ind_prs28022024
2024-03-28,exclude,VINATIORGA,Vinati Organics Ltd.,ind_prs28022024
2024-03-28,exclude,VMART,V-Mart Retail Ltd.,ind_prs28022024
2024-03-28,exclude,ZYDUSWELL,Zydus Wellness Ltd.,ind_prs28022024
2024-03-28,include,ACE,Action Construction Equipment Ltd.,ind_prs28022024
2024-03-28,include,ANANDRATHI,Anand Rathi Wealth Ltd.,ind_prs28022024
2024-03-28,include,ASTRAZEN,AstraZenca Pharma India Ltd.,ind_prs28022024
2024-03-28,include,CAPLIPOINT,Caplin Point Laboratories Ltd.,ind_prs28022024
